UF,Estado,Nome IF,Campus / Município,IDHM-2010,Pop. Residente,SMMínimo (em salários mínimos),PIB per capita (R$),Pessoal com ocupação,Núm. de empresas atuantes,Matrícula ensino médio (2012),Matrícula ensino fundamental (2012),Qtd. de cursos técicos,Qtd. de eixos (consolidado por IF sede),Qtd. matriculas em CT,IDEB 2013 (Series finais rede publica),Qtd. de grupos de pesquisa (Valor agregado para o IF .),Projetos PIBID (Valor agregado por IF),Infraestrutura,Especialista,Mestre,Doutores
PR,Paraná,Instituto Federasl do Paraná,Ivaiporã,0.730,"31,816",2.1,"11,883.62","7,137","1,509","1,694","4,162",,3,,"4,2",13,323,2,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Jacarezinho,0.743,"39,121",2.1,"14,988.62","11,576","1,291","1,727","6,124",,4,,"3,5",13,323,3,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Londrina,0.778,"506,701",2.7,"21,071.01","203,224","26,657","21,699","66,637",,3,,"3,8",13,323,4,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Londrina,0.778,"506,701",2.7,"21,071.01","203,224","26,657","21,699","66,637",,3,,"3,8",13,323,4,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Medianeira,0.763,"41,817",2.2,"20,115.73","17,499","1,952","2,240","5,754",,3,,"4,3",13,323,4,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Palmas,0.788,"228,332",4.1,"15,878.91","120,860","7,114","12,634","38,782",,8,,"3,7",13,323,4,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Paranaguá,0.750,"140,469",3.3,"63,280.82","40,987","4,967","7,847","25,420",,7,,"3,2",13,323,2,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Paranavaí,0.763,"81,590",2.1,"14,180.10","24,628","3,386","3,914","10,466",,4,,"4,1",13,323,3,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Pato Branco,0.782,"72,370",2.3,"22,309.21","30,772","4,025","3,886","10,210",,2,,"4,4",13,323,3,51.25,36.91,11.84
PR,Paraná,Instituto Federasl do Paraná,Ponta Grossa,0.763,"311,611",2.6,"20,379.29","97,778","12,608","15,851","51,163",,3,,"3,9",13,323,4,51.25,36.91,11.84
